region;Skattesats till landsting 2000;Skattesats till landsting 2001;Skattesats till landsting 2002;Skattesats till landsting 2003;Skattesats till landsting 2004;Skattesats till landsting 2005;Skattesats till landsting 2006;Skattesats till landsting 2007;Skattesats till landsting 2008;Skattesats till landsting 2009;Skattesats till landsting 2010;Skattesats till landsting 2011;Skattesats till landsting 2012;Skattesats till landsting 2013;Skattesats till landsting 2014;Skattesats till landsting 2015;Skattesats till landsting 2016;Skattesats till landsting 2017;Skattesats till landsting 2018
1883 Karlskoga;10,43;10,43;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;11,02;11,02;11,52;11,55;11,55;11,55;11,55
1884 Nora;10,43;10,43;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;11,02;11,02;11,52;11,55;11,55;11,55;11,55
1885 Lindesberg;10,43;10,43;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;11,02;11,02;11,52;11,55;11,55;11,55;11,55
1904 Skinnskatteberg;9,78;10,28;10,28;10,28;10,28;10,28;10,28;10,8;10,65;10,5;10,5;10,5;10,38;10,88;10,88;10,88;10,88;10,88;10,88
1907 Surahammar;9,78;10,28;10,28;10,28;10,28;10,28;10,28;10,8;10,65;10,5;10,5;10,5;10,38;10,88;10,88;10,88;10,88;10,88;10,88
1960 Kungsör;9,78;10,28;10,28;10,28;10,28;10,28;10,28;10,8;10,65;10,5;10,5;10,5;10,38;10,88;10,88;10,88;10,88;10,88;10,88
1961 Hallstahammar;9,78;10,28;10,28;10,28;10,28;10,28;10,28;10,8;10,65;10,5;10,5;10,5;10,38;10,88;10,88;10,88;10,88;10,88;10,88
1962 Norberg;9,78;10,28;10,28;10,28;10,28;10,28;10,28;10,8;10,65;10,5;10,5;10,5;10,38;10,88;10,88;10,88;10,88;10,88;10,88
1980 Västerås;9,78;10,28;10,28;10,28;10,28;10,28;10,28;10,8;10,65;10,5;10,5;10,5;10,38;10,88;10,88;10,88;10,88;10,88;10,88
1981 Sala;9,78;10,28;10,28;10,28;10,28;10,28;10,28;10,8;10,65;10,5;10,5;10,5;10,38;10,88;10,88;10,88;10,88;10,88;10,88
1982 Fagersta;9,78;10,28;10,28;10,28;10,28;10,28;10,28;10,8;10,65;10,5;10,5;10,5;10,38;10,88;10,88;10,88;10,88;10,88;10,88
1983 Köping;9,78;10,28;10,28;10,28;10,28;10,28;10,28;10,8;10,65;10,5;10,5;10,5;10,38;10,88;10,88;10,88;10,88;10,88;10,88
1984 Arboga;9,78;10,28;10,28;10,28;10,28;10,28;10,28;10,8;10,65;10,5;10,5;10,5;10,38;10,88;10,88;10,88;10,88;10,88;10,88
2021 Vansbro;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2023 Malung-Sälen;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2026 Gagnef;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2029 Leksand;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2031 Rättvik;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2034 Orsa;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2039 Älvdalen;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2061 Smedjebacken;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2062 Mora;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2080 Falun;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2081 Borlänge;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2082 Säter;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2083 Hedemora;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2084 Avesta;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2085 Ludvika;10,09;10,09;10,09;10,09;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;10,89;11,16;11,16;11,16;11,16;11,16;11,63
2101 Ockelbo;10,35;10,35;10,35;10,35;10,35;10,35;10,67;10,67;10,67;10,87;11,17;11,17;11,43;11,51;11,51;11,51;11,51;11,51;11,51
2104 Hofors;10,35;10,35;10,35;10,35;10,35;10,35;10,67;10,67;10,67;10,87;11,17;11,17;11,43;11,51;11,51;11,51;11,51;11,51;11,51
2121 Ovanåker;10,35;10,35;10,35;10,35;10,35;10,35;10,67;10,67;10,67;10,87;11,17;11,17;11,43;11,51;11,51;11,51;11,51;11,51;11,51
2132 Nordanstig;10,35;10,35;10,35;10,35;10,35;10,35;10,67;10,67;10,67;10,87;11,17;11,17;11,43;11,51;11,51;11,51;11,51;11,51;11,51
2161 Ljusdal;10,35;10,35;10,35;10,35;10,35;10,35;10,67;10,67;10,67;10,87;11,17;11,17;11,43;11,51;11,51;11,51;11,51;11,51;11,51
2180 Gävle;10,35;10,35;10,35;10,35;10,35;10,35;10,67;10,67;10,67;10,87;11,17;11,17;11,43;11,51;11,51;11,51;11,51;11,51;11,51
2181 Sandviken;10,35;10,35;10,35;10,35;10,35;10,35;10,67;10,67;10,67;10,87;11,17;11,17;11,43;11,51;11,51;11,51;11,51;11,51;11,51
