region,Skattesats till kommun 2000,Skattesats till kommun 2001,Skattesats till kommun 2002,Skattesats till kommun 2003,Skattesats till kommun 2004,Skattesats till kommun 2005,Skattesats till kommun 2006,Skattesats till kommun 2007,Skattesats till kommun 2008,Skattesats till kommun 2009,Skattesats till kommun 2010,Skattesats till kommun 2011,Skattesats till kommun 2012,Skattesats till kommun 2013,Skattesats till kommun 2014,Skattesats till kommun 2015,Skattesats till kommun 2016,Skattesats till kommun 2017,Skattesats till kommun 2018
2161 Ljusdal,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.14,22.36,22.36,22.36,22.36,22.36,22.36
2404 Vindeln,22.4,22.4,22.4,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,23.1,23.1,23.1,23.65,23.65,23.65
2409 Robertsfors,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.9,23.1,23.1,23.1,23.15,23.15,23.15
2421 Storuman,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.9,22.9,22.9,22.9,22.9,23.1,23.1,23.1,23.15,23.15,23.15
2482 Skellefteå,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.6,22.6,22.6,22.65,22.65,22.65
2380 Östersund,22.07,22.07,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.02,22.02,22.02,22.02
2262 Timrå,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.64,22.64,22.64,22.64,22.64
2514 Kalix,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.55,22.55,22.55,22.55,22.55,22.55
2523 Gällivare,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.33,22.55,22.55,22.55,22.55,22.55,22.55
2084 Avesta,21.81,22.31,22.31,22.31,22.31,22.31,22.21,22.21,22.21,22.21,22.21,22.21,22.21,22.44,22.44,22.44,22.44,22.44,21.97
